#timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1276778264365	4.1814466	3.1054392	7.7772183	-0.44644833	0.0	-12.0	-6.9375	-45.75	0.11261903	0.98068994	-0.9320023
1276778264404	4.099725	3.0237172	7.9679036	-0.34947872	0.0	-12.25	-6.9375	-46.0	0.12909323	1.0019537	-0.9353165
1276778264434	4.4810944	3.0237172	7.6954966	-0.40219688	0.0	-12.25	-7.1875	-45.75	0.060744084	0.95841616	-0.9772033
1276778264474	4.5219555	3.0237172	7.6273947	-0.4381876	0.0	-12.0	-6.4375	-45.75	0.08472441	0.951275	-0.98140484
1276778264514	4.0588636	3.445948	8.349273	0.09583855	0.0	-12.0	-6.4375	-45.5	0.21269372	1.0031132	-0.86688703
1276778264554	3.9499009	3.5957718	8.62168	0.33557224	0.0	-12.25	-6.4375	-45.25	0.2730806	1.0161334	-0.8322952
1276778264594	4.099725	3.173541	8.390134	0.056079865	0.0	-12.0	-5.9375	-45.25	0.20696226	1.0172981	-0.91205734
1276778264634	4.0588636	3.0237172	7.8861814	-0.43599892	0.0	-12.5	-5.4375	-45.5	0.22775523	1.0002075	-0.93052447
1276778264684	4.0180025	3.1054392	7.7363577	-0.55249786	0.0	-12.5	-5.1875	-45.25	0.24916196	0.98993033	-0.9128113
1276778264725	3.759216	3.405087	7.8861814	-0.43018055	0.0	-12.0	-5.4375	-45.25	0.28140542	0.9992414	-0.83478767
1276778264778	3.2961242	3.9499009	8.240311	-0.09228611	0.0	-12.0	-6.4375	-45.5	0.3634064	1.0126917	-0.6954163
1276778264814	2.7240696	4.1814466	7.8589406	-0.49708557	0.0	-11.0	-7.6875	-45.75	0.3439007	1.0050321	-0.57740504
1276778264884	0.88532263	4.399372	5.9793324	-2.3306427	0.0	-9.5	-8.4375	-46.5	0.3686814	0.9269669	-0.19858606
1276778264928	0.10896278	4.5219555	4.2904096	-3.5722642	0.0	-6.25	-8.4375	-46.75	0.21255127	0.7589842	-0.024091722
1276778264964	-0.9125633	4.7535014	5.5571017	-2.4371233	0.0	-1.6875	-8.6875	-46.75	0.13362895	0.8542293	0.18966945
1276778264994	-2.2201166	5.09401	6.238119	-1.4524908	0.0	3.5625	-9.1875	-46.25	0.017293027	0.8430993	0.41100693
1276778265024	-3.568531	3.990762	8.662541	0.37668037	0.0	8.625	-10.1875	-45.75	0.028436752	1.0172375	0.7296003
1276778265055	-7.5865335	5.012288	6.3607025	1.2900639	0.0	12.375	-10.9375	-45.5	0.08237108	0.610413	0.98694825
1276778265094	1.1168685	5.175732	7.8861814	-0.30783653	0.0	14.875	-9.4375	-45.5	-0.6832098	0.9795166	-0.21253063
1276778265125	1.7978859	0.46309182	10.269742	0.62955856	0.0	16.4375	-5.4375	-44.75	-0.39777282	1.3919475	-1.3187003
1276778265164	-6.469665	-0.8036005	8.19945	0.66871643	0.0	18.4375	0.5625	-43.25	0.13586722	0.8990504	1.694374
1276778265194	-7.014479	-3.2961242	10.56939	3.2998123	0.0	19.9375	6.5625	-41.25	0.32289758	0.9380828	2.0100777
1276778265225	-2.9147544	-3.2961242	10.732834	1.7930889	0.0	20.9375	10.5625	-39.0	2.1236818	1.181734	2.417521
1276778265264	-3.0645783	-1.9885708	10.460427	1.2733583	0.0	22.1875	11.5625	-38.5	2.925249	1.2347965	2.14639
1276778265364	-3.255263	0.6946377	11.645397	2.3051014	0.0	22.6875	10.0625	-38.25	-2.1141016	1.292394	1.3605604
1276778265415	-3.9771416	1.0351465	10.61025	1.5716887	0.0	24.1875	7.3125	-37.75	-2.0277886	1.2012618	1.3161716
1276778265476	-4.1814466	-1.0760075	9.112013	0.27655697	0.0	26.0	6.5625	-37.4375	3.1264727	1.1282918	1.8226609
1276778265517	-1.6889231	-0.95342433	5.9793324	-3.5206423	0.0	27.0	6.8125	-36.4375	2.6675835	1.2571441	2.084716
1276778265554	-3.2961242	0.38136974	9.575105	0.32708168	0.0	27.5	6.8125	-36.1875	-2.497569	1.2372112	1.4556061
1276778265585	-6.932757	1.1168685	10.119919	2.51095	0.0	27.25	7.0625	-35.9375	-1.6319783	0.9641805	1.4110686
1276778265634	-5.597963	0.6946377	9.575105	1.3065109	0.0	27.0	5.0625	-35.9375	-2.0471256	1.0384144	1.4473398
1276778265664	-3.255263	1.1441092	9.043911	-0.12687492	0.0	26.25	3.8125	-36.4375	-2.2007837	1.2063185	1.2328175
